ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holiday,holiday_lower,holiday_upper,hum,hum_lower,hum_upper,temp,temp_lower,temp_upper,weekly,weekly_lower,weekly_upper,windspeed,windspeed_lower,windspeed_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-01,2746.8340512,-844.8905810457405,1242.176416148425,2746.8340512,2746.8340512,-2536.1275190454057,-2536.1275190454057,-2536.1275190454057,-1264.3878858713108,-1264.3878858713108,-1264.3878858713108,12.926871769709454,12.926871769709454,12.926871769709454,-575.4052040260428,-575.4052040260428,-575.4052040260428,-820.0836015545757,-820.0836015545757,-820.0836015545757,109.65119911597351,109.65119911597351,109.65119911597351,118.1740479395981,118.1740479395981,118.1740479395981,-1381.3908322900681,-1381.3908322900681,-1381.3908322900681,0.0,0.0,0.0,210.70653215459424
2011-01-02,2750.851551253233,-981.2296606801608,1027.2082339047986,2750.851551253233,2750.851551253233,-2678.7769323494576,-2678.7769323494576,-2678.7769323494576,-1148.346435142961,-1148.346435142961,-1148.346435142961,12.926871769709454,12.926871769709454,12.926871769709454,-240.9251218214396,-240.9251218214396,-240.9251218214396,-697.7867368482465,-697.7867368482465,-697.7867368482465,-226.1338064632395,-226.1338064632395,-226.1338064632395,-222.5614482429843,-222.5614482429843,-222.5614482429843,-1304.2966907432574,-1304.2966907432574,-1304.2966907432574,0.0,0.0,0.0,72.07461890377544
2011-01-03,2754.869051306466,-784.7049807763124,1201.659695417897,2754.869051306466,2754.869051306466,-2557.5259427334863,-2557.5259427334863,-2557.5259427334863,-1274.6856470577648,-1274.6856470577648,-1274.6856470577648,12.926871769709454,12.926871769709454,12.926871769709454,615.2087451547868,615.2087451547868,615.2087451547868,-1630.8665194224618,-1630.8665194224618,-1630.8665194224618,-66.8934387439086,-66.8934387439086,-66.8934387439086,-271.95474455979934,-271.95474455979934,-271.95474455979934,-1215.9468569318133,-1215.9468569318133,-1215.9468569318133,0.0,0.0,0.0,197.34310857297987
2011-01-04,2758.886551359699,-680.5377412906229,1356.2296456291078,2758.886551359699,2758.886551359699,-2456.0009098146475,-2456.0009098146475,-2456.0009098146475,-1359.9148219481888,-1359.9148219481888,-1359.9148219481888,12.926871769709454,12.926871769709454,12.926871769709454,117.88078454349787,117.88078454349787,117.88078454349787,-1617.2779788995358,-1617.2779788995358,-1617.2779788995358,21.848000986003473,21.848000986003473,21.848000986003473,126.55550063813969,126.55550063813969,126.55550063813969,-1117.9340888524623,-1117.9340888524623,-1117.9340888524623,0.0,0.0,0.0,302.8856415450514
2011-01-05,2762.9040514129315,19.064438436024588,1937.766336072288,2762.9040514129315,2762.9040514129315,-1822.5879284717778,-1822.5879284717778,-1822.5879284717778,-832.1020044886533,-832.1020044886533,-832.1020044886533,12.926871769709454,12.926871769709454,12.926871769709454,597.6400943723229,597.6400943723229,597.6400943723229,-1463.2745196397138,-1463.2745196397138,-1463.2745196397138,21.545559101259435,21.545559101259435,21.545559101259435,20.60554900902835,20.60554900902835,20.60554900902835,-1012.0314830843839,-1012.0314830843839,-1012.0314830843839,0.0,0.0,0.0,940.3161229411537
2011-01-06,2766.9215514661646,40.71080700864187,2068.7665430878774,2766.9215514661646,2766.9215514661646,-1693.556067591513,-1693.556067591513,-1693.556067591513,-836.4543534327038,-836.4543534327038,-836.4543534327038,12.926871769709454,12.926871769709454,12.926871769709454,340.8675060132336,340.8675060132336,340.8675060132336,-1590.100897853685,-1590.100897853685,-1590.100897853685,43.048777318486955,43.048777318486955,43.048777318486955,399.85216663803806,399.85216663803806,399.85216663803806,-900.1504914772962,-900.1504914772962,-900.1504914772962,0.0,0.0,0.0,1073.3654838746515
2011-01-07,2770.9390515193973,-105.00088036572905,1911.2400361688894,2770.9390515193973,2770.9390515193973,-1816.8796011126196,-1816.8796011126196,-1816.8796011126196,-1129.517228444444,-1129.517228444444,-1129.517228444444,12.926871769709454,12.926871769709454,12.926871769709454,394.92489303619953,394.92489303619953,394.92489303619953,-1621.8074924071777,-1621.8074924071777,-1621.8074924071777,96.93370868577878,96.93370868577878,96.93370868577878,84.43849915682479,84.43849915682479,84.43849915682479,-784.2960813539543,-784.2960813539543,-784.2960813539543,0.0,0.0,0.0,954.0594504067776
2011-01-08,2774.9565515726304,-601.2926150878933,1348.100154957244,2774.9565515726304,2774.9565515726304,-2331.2012312723627,-2331.2012312723627,-2331.2012312723627,-1774.3322277166976,-1774.3322277166976,-1774.3322277166976,12.926871769709454,12.926871769709454,12.926871769709454,300.3244657460091,300.3244657460091,300.3244657460091,-1793.9290056975667,-1793.9290056975667,-1793.9290056975667,109.65119911618304,109.65119911618304,109.65119911618304,-293.6545595348496,-293.6545595348496,-293.6545595348496,-666.5202026718479,-666.5202026718479,-666.5202026718479,0.0,0.0,0.0,443.7553203002676
2011-01-09,2778.9740516258635,-1001.9669759807895,1018.2677690001043,2778.9740516258635,2778.9740516258635,-2732.9480077524618,-2732.9480077524618,-2732.9480077524618,-1957.9394429540587,-1957.9394429540587,-1957.9394429540587,12.926871769709454,12.926871769709454,12.926871769709454,630.0745265861026,630.0745265861026,630.0745265861026,-1938.8734379421053,-1938.8734379421053,-1938.8734379421053,-226.1338064631477,-226.1338064631477,-226.1338064631477,-662.0674033677656,-662.0674033677656,-662.0674033677656,-548.8747583352554,-548.8747583352554,-548.8747583352554,0.0,0.0,0.0,46.026043873401704
2011-01-10,2782.991551679096,-216.74865305215278,1748.8002416203385,2782.991551679096,2782.991551679096,-2011.3795248336116,-2011.3795248336116,-2011.3795248336116,-1511.1208117834126,-1511.1208117834126,-1511.1208117834126,12.926871769709454,12.926871769709454,12.926871769709454,471.95666954392647,471.95666954392647,471.95666954392647,-1870.9307353274776,-1870.9307353274776,-1870.9307353274776,-66.89343874408735,-66.89343874408735,-66.89343874408735,-125.07361776957104,-125.07361776957104,-125.07361776957104,-433.3652743061114,-433.3652743061114,-433.3652743061114,0.0,0.0,0.0,771.6120268454845
